StudentID,PreferredCenter,AssignedCenterDay0,AssignedCenterDay1,PenaltyDay0,PenaltyDay1
0,H,H,H,0,0
1,F,E,E,1,1
2,L,L,C,1,5
3,H,H,H,0,0
4,G,B,G,6,0
5,H,H,H,0,0
6,G,G,A,1,5
7,F,G,G,1,1
8,J,B,B,5,5
9,I,I,I,0,0
10,A,B,B,1,1
11,A,B,B,1,1
12,F,A,F,6,0
13,G,G,G,0,0
14,H,H,H,0,0
15,L,L,C,1,5
16,J,A,A,5,5
17,L,A,L,6,0
18,J,A,J,6,0
19,D,C,C,1,1
20,I,A,I,6,0
21,E,F,B,2,5
22,J,B,J,6,0
23,D,D,E,1,1
24,K,C,C,5,5
25,E,A,A,5,5
26,E,E,B,1,5
27,K,A,A,5,5
28,K,A,B,6,5
29,I,I,I,0,0
30,F,B,F,6,0
31,K,K,A,1,5
32,I,C,C,5,5
33,B,A,B,2,0
34,F,F,F,0,0
35,A,C,A,6,0
36,C,C,C,0,0
37,D,A,D,6,0
38,H,H,H,0,0
39,I,A,F,6,5
40,E,J,J,5,5
41,G,G,F,1,1
42,C,C,C,0,0
43,F,F,C,1,5
44,K,B,K,6,0
45,L,L,A,1,5
46,G,G,G,0,0
47,C,A,A,5,5
48,H,A,A,5,5
49,K,K,K,0,0
50,D,E,E,1,1
51,L,B,B,5,5
52,K,K,D,1,5
53,K,A,K,6,0
54,D,D,D,0,0
55,I,I,B,1,5
56,E,H,C,6,5
57,D,D,E,1,1
58,L,A,B,6,5
59,K,K,K,0,0
60,L,L,A,1,5
61,J,J,I,1,1
62,F,B,F,6,0
63,E,E,E,0,0
64,A,A,A,0,0
65,D,D,B,1,5
66,H,C,C,5,5
67,G,G,G,0,0
68,L,L,L,0,0
69,F,A,A,5,5
70,G,A,G,6,0
71,A,A,A,0,0
72,H,H,D,1,5
73,H,A,A,5,5
74,F,A,A,5,5
75,F,F,K,1,5
76,A,B,B,1,1
77,A,B,B,1,1
78,H,D,D,5,5
79,H,H,H,0,0
80,A,A,C,1,5
81,I,I,I,0,0
82,K,B,K,6,0
83,H,H,H,0,0
84,A,B,A,2,0
85,K,K,B,1,5
86,D,B,C,6,1
87,H,H,H,0,0
88,G,G,G,0,0
89,I,I,I,0,0
90,E,A,A,5,5
91,C,C,C,0,0
92,L,A,L,6,0
93,A,A,D,1,5
94,E,G,G,5,5
95,A,B,B,1,1
96,A,A,A,0,0
97,L,L,L,0,0
98,K,A,F,6,5
99,E,B,B,5,5
100,L,L,I,1,5
101,C,C,D,1,1
102,F,F,F,0,0
103,F,F,F,0,0
104,A,E,E,5,5
105,I,B,A,6,5
106,K,K,A,1,5
107,L,L,A,1,5
108,I,I,B,1,5
109,G,H,G,2,0
110,A,B,B,1,1
111,I,I,I,0,0
112,K,K,A,1,5
113,H,H,H,0,0
114,I,A,A,5,5
115,D,D,F,1,5
116,F,F,B,1,5
117,B,B,A,1,1
118,I,B,B,5,5
119,B,B,B,0,0
120,F,F,F,0,0
121,I,I,B,1,5
122,I,A,A,5,5
123,E,E,E,0,0
124,H,C,C,5,5
125,H,C,C,5,5
126,F,F,F,0,0
127,A,A,D,1,5
128,D,A,E,6,1
129,F,F,F,0,0
130,H,H,A,1,5
131,C,A,A,5,5
132,H,A,G,6,1
133,G,G,A,1,5
134,L,A,A,5,5
135,H,H,H,0,0
136,B,A,C,2,1
137,F,F,F,0,0
138,L,L,E,1,5
139,C,C,C,0,0
140,H,H,H,0,0
141,B,B,A,1,1
142,F,C,B,6,5
143,B,C,C,1,1
144,A,A,C,1,5
145,I,I,A,1,5
146,J,J,A,1,5
147,F,F,F,0,0
148,L,G,G,5,5
149,C,E,E,5,5
150,C,C,C,0,0
151,A,F,F,5,5
152,B,B,A,1,1
153,J,A,A,5,5
154,G,G,G,0,0
155,F,F,F,0,0
156,A,A,A,0,0
157,I,I,I,0,0
158,F,F,B,1,5
159,A,D,D,5,5
160,G,B,G,6,0
161,H,H,A,1,5
162,D,D,A,1,5
163,E,C,E,6,0
