StudentID,PreferredCenter
1,C
2,B
3,C
4,B
5,A
6,C
7,C
8,C
9,B
10,A
11,A
12,A
13,A
14,A
15,A
16,C
17,C
18,B
19,C
20,C
21,A
22,C
23,B
24,A
25,C
26,A
27,B
28,B
29,C
30,B
31,B
32,A
33,B
34,B
35,A
36,B
37,C
38,A
39,B
40,B
41,A
42,B
43,A
44,A
45,A
46,C
47,A
48,C
49,C
50,B
51,A
52,C
53,B
54,A
55,C
56,B
57,B
58,C
59,B
60,C
61,A
62,A
63,C
64,C
65,B
66,C
67,A
68,A
69,C
70,A
71,A
72,B
73,B
74,C
75,B
76,A
77,B
78,C
79,A
80,C
81,B
82,A
83,B
84,B
85,C
86,C
87,B
88,A
89,B
90,B
91,A
92,B
93,C
94,A
95,A
96,A
97,A
98,A
99,C
100,C
101,A
102,A
103,B
104,A
105,A
106,A
107,A
108,C
109,C
110,A
111,A
112,B
113,C
114,C
115,B
116,B
117,C
118,B
119,C
120,A
121,C
122,B
123,C
124,C
125,C
126,A
127,C
128,B
129,A
130,A
131,C
132,C
133,A
134,A
135,A
136,C
137,B
138,B
139,C
140,B
141,B
142,C
143,B
144,B
145,B
146,B
147,C
148,C
149,B
150,C
151,B
152,C
153,B
154,C
155,B
156,B
157,C
158,C
159,A
160,B
161,A
162,B
163,B
164,A
165,C
166,B
167,C
168,A
169,C
170,C
171,A
172,B
173,A
174,C
175,A
176,C
177,A
178,A
179,A
180,B
181,C
182,B
183,B
184,A
185,A
186,C
187,B
188,C
189,B
190,C
191,C
192,C
193,C
194,A
195,A
196,C
197,C
198,C
199,A
200,C
201,C
202,C
203,C
204,B
205,A
206,C
207,B
208,B
209,B
210,C
211,C
212,C
213,B
214,A
215,B
216,C
217,B
218,C
219,C
220,C
221,B
222,A
223,A
224,C
225,B
226,A
227,B
228,C
229,A
230,B
231,B
232,B
233,C
234,A
235,C
236,C
237,C
238,B
239,C
240,B
241,A
242,C
243,C
244,B
245,C
246,A
247,A
248,A
249,B
250,A
251,A
252,B
253,C
254,B
255,A
256,A
257,B
258,A
259,C
260,A
261,A
262,A
263,C
264,C
265,A
266,B
267,B
268,B
269,A
270,C
